City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Caravelas,BR,-17.71,-39.25,74.37,87,0,4.5,clear sky
83,Tasiilaq,GL,65.61,-37.64,14.0,85,21,1.12,few clouds
84,Tuktoyaktuk,CA,69.45,-133.04,-7.6,83,90,8.05,overcast clouds
85,Mago,RU,53.25,140.18,-27.22,82,5,1.68,clear sky
86,Taoudenni,ML,22.68,-3.98,70.05,34,26,4.9,scattered clouds
87,Nanchang,CN,28.68,115.88,33.35,88,79,12.37,broken clouds
88,Vila Velha,BR,-20.33,-40.29,77.0,78,40,8.05,light rain
89,Ombessa,CM,4.6,11.26,71.74,91,82,2.68,broken clouds
90,Chara,RU,56.91,118.26,-17.18,76,98,4.29,overcast clouds
91,Avarua,CK,-21.21,-159.78,84.2,79,47,4.7,scattered clouds
92,Vestmanna,FO,62.16,-7.17,35.6,89,100,19.46,light snow
93,Tucumcari,US,35.17,-103.72,48.2,39,90,9.17,overcast clouds
94,Segou,ML,13.43,-6.22,72.63,26,0,7.74,clear sky
95,Leningradskiy,RU,69.38,178.42,-9.9,89,99,0.98,overcast clouds
96,Pisco,PE,-13.7,-76.22,71.6,83,0,18.34,clear sky
97,Tuatapere,NZ,-46.13,167.68,62.01,76,98,3.0,overcast clouds
98,Provideniya,RU,64.38,-173.3,26.6,86,75,17.9,broken clouds
99,Kodiak,US,57.79,-152.41,39.2,93,90,17.22,light rain
100,Qaanaaq,GL,77.48,-69.36,8.82,83,55,1.79,broken clouds
101,Lyuban,BY,52.8,28.0,34.93,89,3,8.14,clear sky
102,Cabo San Lucas,MX,22.89,-109.91,71.01,64,5,11.41,clear sky
103,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,8.6,65,76,6.71,broken clouds
104,Luganville,VU,-15.53,167.17,77.0,94,90,2.24,overcast clouds
105,College,US,64.86,-147.8,14.0,70,20,2.86,few clouds
106,Saint-Philippe,RE,-21.36,55.77,75.2,73,0,16.11,clear sky
107,Quatre Cocos,MU,-20.21,57.76,77.0,78,40,10.29,scattered clouds
108,Atuona,PF,-9.8,-139.03,78.91,73,0,13.94,clear sky
109,Iskateley,RU,67.68,53.15,-24.65,84,10,6.87,clear sky
110,Suntar,RU,62.14,117.63,-5.04,90,100,10.02,light snow
111,Jardim,BR,-21.48,-56.14,75.45,86,100,2.51,overcast clouds
112,Bamberg,DE,49.88,10.89,33.01,82,80,4.25,broken clouds
113,Owando,CG,-0.48,15.9,73.13,93,99,2.95,overcast clouds
114,Kamwenge,UG,0.19,30.45,63.7,87,51,1.07,broken clouds
115,Aswan,EG,24.09,32.91,60.91,50,26,7.99,scattered clouds
116,Carnarvon,AU,-24.87,113.63,77.0,94,36,11.41,scattered clouds
117,Sakakah,SA,29.97,40.21,44.6,81,0,5.82,clear sky
118,Port Lincoln,AU,-34.73,135.87,65.43,72,84,11.56,broken clouds
119,Mahajanga,MG,-15.72,46.32,75.2,100,40,5.82,light rain
120,Barrow,US,71.29,-156.79,-7.6,83,90,14.99,overcast clouds
121,Brandon,US,27.94,-82.29,66.99,72,1,3.36,clear sky
122,Namwala,ZM,-15.75,26.44,68.45,95,100,0.6,light rain
123,Henties Bay,NA,-22.12,14.28,66.0,86,100,6.4,overcast clouds
124,Ribeira Grande,PT,38.52,-28.7,57.9,70,100,11.9,overcast clouds
125,Balabac,PH,7.99,117.06,82.17,76,37,2.77,scattered clouds
126,Rohru,IN,31.22,77.75,31.62,56,0,5.26,clear sky
127,Monrovia,LR,6.3,-10.8,77.0,100,40,5.95,scattered clouds
128,Machilipatnam,IN,16.17,81.13,69.78,83,0,9.19,clear sky
129,Vardo,NO,70.37,31.11,33.57,91,99,14.92,overcast clouds
130,Khatanga,RU,71.97,102.5,-31.13,84,74,8.39,broken clouds
131,Hermanus,ZA,-34.42,19.23,62.01,82,0,3.0,clear sky
132,Americus,US,32.07,-84.23,51.8,81,1,5.88,clear sky
133,Rocha,UY,-34.48,-54.33,68.56,78,22,7.92,few clouds
134,Leshukonskoye,RU,64.9,45.76,5.56,93,100,5.68,overcast clouds
135,Mpongwe,ZM,-13.51,28.16,63.27,97,100,2.59,overcast clouds
136,La Rioja,ES,42.25,-2.5,39.99,93,75,10.29,broken clouds
137,Viedma,AR,-40.81,-63.0,82.99,27,44,1.99,scattered clouds
138,Loknya,RU,56.83,30.15,37.38,89,100,13.15,overcast clouds
139,Barkhan,PK,29.9,69.53,36.84,61,0,2.42,clear sky
